file1 file2 flip heuristic runtime closed open
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_11_100 23 23 0 -1 1
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_12_100 27 27 0 -1 1
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_1_100 20 20 0 -1 1
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_2_100 21 21 0 -1 1
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_3_100 34 34 0 -1 1
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_4_100 31 29 16080 323053 3688115
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_5_100 34 33 1454 34861 473829
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_6_100 27 27 0 -1 1
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_7_100 38 36 143100 2514658 23965207
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_8_100 29 29 0 -1 1
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_9_100 35 34 795 16292 226753
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_10_100 20 20 0 -1 1
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_11_100 23 23 0 -1 1
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_12_100 21 21 0 -1 1
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_1_100 20 20 0 -1 1
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_2_100 22 22 0 -1 1
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_3_100 35 35 0 -1 1
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_4_100 35 33 52306 1031511 10322467
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_5_100 28 28 0 -1 1
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_6_100 27 27 0 -1 1
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_7_100 16 16 0 -1 1
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_8_100 36 34 58363 993312 9670393
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_10_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2010_9_100 31 28 17028 322925 2679929
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_12_100 32 32 0 -1 1
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_1_100 17 17 0 -1 1
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_2_100 29 29 0 -1 1
../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_11_100 ../data/sealevel_experiments_paper/s_25/s_25_100/triangulation/t_2009_3_100 26 26 0 -1 1
