file1 file2 flip runtime closed open 
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_1 -1 300000 27192691 57803500
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_10 -1 300000 27384235 59665164
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_11 -1 300000 27293639 56769189
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_12 23 210377 20102556 42290346
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_13 -1 300000 28103206 55217472
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_14 21 118437 11334728 26602525
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_15 -1 300000 28471035 53741826
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_16 -1 300000 27559444 59935081
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_17 -1 300000 28162120 55410287
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_18 -1 300000 28321394 56496471
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_19 -1 300000 28332035 55498765
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_2 21 86566 8594567 19708799
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_3 22 151890 14805566 31753268
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_4 -1 300000 28273196 56806867
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_5 -1 300000 28087413 58228423
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_6 -1 300000 28032827 55952380
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_7 19 45340 4656160 11421561
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_8 -1 300000 27968819 56410014
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_9 -1 300000 26850074 56220819
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_10 -1 300000 26783761 61663440
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_11 20 162182 14778485 34528559
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_12 -1 300000 27312816 60022559
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_13 -1 300000 27016121 58258078
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_14 -1 300000 26683314 60831917
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_15 -1 300000 26206370 55677698
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_16 18 63495 6235331 16088965
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_17 -1 300000 26751191 57776348
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_18 21 187818 17396465 38937220
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_19 -1 304960 26835020 57813705
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_2 -1 300000 27113684 59857571
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_3 -1 300000 27313809 59439374
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_4 -1 300000 27302217 59366404
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_5 -1 300000 27302587 60182286
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_6 19 69409 6720420 16301810
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_7 -1 300000 27299961 60177725
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_8 -1 300000 27203821 59132664
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_9 17 35424 3576240 9579064
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_11 -1 300000 26841549 60571916
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_12 19 87340 8446388 21141425
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_13 20 94460 9152721 22520896
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_14 -1 300000 26716222 61884320
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_15 20 105138 10003151 24550453
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_16 21 261301 23646609 54693042
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_17 -1 300000 26409830 59449104
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_18 16 19319 2023224 5987008
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_19 -1 300000 26430354 59292353
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_2 20 124761 11741413 29003626
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_3 15 10177 1123667 3473226
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_4 -1 300000 27358639 61287109
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_5 -1 300000 27365599 61964964
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_6 19 82080 7913956 19689540
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_7 19 97231 9345151 23442094
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_8 16 17907 1888252 5607526
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_9 -1 300000 27072160 61128536
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_12 -1 300000 27018594 58038841
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_13 -1 300000 26984187 56618410
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_14 -1 300000 26743342 60005685
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_15 -1 300000 26953506 55015051
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_16 20 122638 11572631 27812743
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_17 -1 300000 26862910 56302055
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_18 -1 300000 26910018 56631211
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_19 -1 300000 27034803 56405102
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_2 -1 300000 26877688 58098473
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_3 -1 300000 27118618 57983692
